,model,tokenizer,vectorizer,ngram,random_state,data_type,accuracy,dem_precision,rep_precision,dem_recall,rep_recall,null_accuracy,lift
121,LogisticRegression,SPACY,Count,"(1, 2)",15,Dirty,0.84059080125507,0.8548300776023549,0.8215626676202396,0.8648977934208745,0.8089788732394366,0.5653172112956302,1.4869365100852852
122,MultinomialNB,SPACY,Count,"(1, 2)",16,Dirty,0.83309099257672,0.8323045267489712,0.8342468342468342,0.8806640359232548,0.7719482336481287,0.56240912221627,1.4812899714246837
123,LogisticRegression,SPACY,Count,"(1, 2)",16,Dirty,0.8348511517563327,0.8459282953485272,0.8199137311286844,0.8636549190366036,0.7978314095837705,0.56240912221627,1.4844196489318273
124,MultinomialNB,SPACY,Count,"(1, 2)",17,Dirty,0.8318665340169894,0.8347320852162685,0.827696354753852,0.8757789217014359,0.7748460861917327,0.5649345679957144,1.4725006773232188
125,LogisticRegression,SPACY,Count,"(1, 2)",17,Dirty,0.8362286676360297,0.8495598826353694,0.8182797629736038,0.8629097805472772,0.8015831134564644,0.5649345679957144,1.4802221620157139
126,MultinomialNB,SPACY,Count,"(1, 2)",18,Dirty,0.8386010560955077,0.8404971517348524,0.8358600037432155,0.8809879223775274,0.7837837837837838,0.5639396954159333,1.4870403039761162
127,LogisticRegression,SPACY,Count,"(1, 2)",18,Dirty,0.8357694956761307,0.8466746316208682,0.8209251897361763,0.8655177093228389,0.7972972972972973,0.5639396954159333,1.4820192699145067
128,MultinomialNB,SPACY,Count,"(1, 2)",19,Dirty,0.8411265018749522,0.8487602232896274,0.8301640566741237,0.8777017049268359,0.7926308294766821,0.5700619882145863,1.475500067123104
129,LogisticRegression,SPACY,Count,"(1, 2)",19,Dirty,0.8342389224764675,0.8517778665601279,0.8105433609211947,0.8586387434554974,0.8018867924528302,0.5700619882145863,1.4634179084440866
130,MultinomialNB,SPACY,Count,"(1, 2)",20,Dirty,0.838218412795592,0.839895356442119,0.8358539284396902,0.8782656271371906,0.7873523280055594,0.5595010331369098,1.4981534673779235
131,LogisticRegression,SPACY,Count,"(1, 2)",20,Dirty,0.8342389224764675,0.8451630216020395,0.8197363733523334,0.8615784434413897,0.799513551077137,0.5595010331369098,1.4910408972780742
132,MultinomialNB,SPACY,TFIDF,"(1, 1)",10,Dirty,0.8020203566235555,0.7644230769230769,0.8835799175357749,0.9343993439934399,0.6335652173913043,0.5599602050968088,1.4322809894765614
133,LogisticRegression,SPACY,TFIDF,"(1, 1)",10,Dirty,0.8244432539986225,0.8270608152103138,0.8207126948775055,0.8679786797867979,0.7690434782608696,0.5599602050968088,1.4723247232472325
134,MultinomialNB,SPACY,TFIDF,"(1, 1)",11,Dirty,0.8001836687839596,0.7634516633177049,0.8802628376733999,0.9328877370072296,0.6305788005578801,0.561031606336573,1.426271995634975
135,LogisticRegression,SPACY,TFIDF,"(1, 1)",11,Dirty,0.8194688910997169,0.8271052631578948,0.8088531187122736,0.8574546446596645,0.7709205020920502,0.561031606336573,1.4606465693629793
136,MultinomialNB,SPACY,TFIDF,"(1, 1)",12,Dirty,0.8046988597229663,0.7682628062360802,0.8847565451431367,0.9360922659430122,0.634720028084957,0.5640162240759165,1.426729986431479
137,LogisticRegression,SPACY,TFIDF,"(1, 1)",12,Dirty,0.8205402923394811,0.8265107212475633,0.81198808637379,0.8629579375848032,0.765666140073723,0.5640162240759165,1.4548168249660787
138,MultinomialNB,SPACY,TFIDF,"(1, 1)",13,Dirty,0.7968929364046835,0.7593190163569601,0.879656862745098,0.9328776486671223,0.6239568845618915,0.5598071477768424,1.4235133287764867
139,LogisticRegression,SPACY,TFIDF,"(1, 1)",13,Dirty,0.818627075839902,0.8240922794599554,0.8109599117322545,0.8594668489405332,0.7666898470097357,0.5598071477768424,1.4623376623376625
140,MultinomialNB,SPACY,TFIDF,"(1, 1)",14,Dirty,0.7943674906252391,0.7535539760106619,0.8848141767167118,0.935474975872053,0.6183350533195734,0.5550623708578862,1.4311319454019027
141,LogisticRegression,SPACY,TFIDF,"(1, 1)",14,Dirty,0.8176322032601209,0.8195538057742782,0.8149440058747934,0.861023024955191,0.7635018919848641,0.5550623708578862,1.4730456362884323
142,MultinomialNB,SPACY,TFIDF,"(1, 1)",15,Dirty,0.8063059615826127,0.7696579298089737,0.8875215358109771,0.9381345607147692,0.6348591549295775,0.5653172112956302,1.4262894273724112
